Sample_ID,Sample_details,Test,Results,Units,Absorbance,QC_Pro_result,Operator,Man_Dil_Factor,Auto_Dil_Factor,Date_Time,Total_dil_factor,Sample_Type,error_codes,Cup_number
Standard 1,,NO2_NO3_H2O,0.006,mg N/L,0.005977, ,,1,1,11/15/2021 16:01,1,S1,,
Standard 90,,NO2_NO3_H2O,0.033,mg N/L,0.032672, ,,1,1,11/15/2021 16:03,1,S90,,
Standard 91,,NO2_NO3_H2O,0.08,mg N/L,0.080114, ,,1,1,11/15/2021 16:05,1,S91,,
Standard 92,,NO2_NO3_H2O,0.153,mg N/L,0.153374, ,,1,1,11/15/2021 16:06,1,S92,,
Standard 93,,NO2_NO3_H2O,0.381,mg N/L,0.380535, ,,1,1,11/15/2021 16:08,1,S93,,
Standard 94,,NO2_NO3_H2O,0.762,mg N/L,0.76186, ,,1,1,11/15/2021 16:10,1,S94,,
Standard 95,,NO2_NO3_H2O,1.138,mg N/L,1.137952, ,,1,1,11/15/2021 16:12,1,S95,,
Standard 96,,NO2_NO3_H2O,1.504,mg N/L,1.504288, ,,1,1,11/15/2021 16:14,1,S96,,
Standard 0,,NO2_NO3_H2O,0.007,mg N/L,0.006874, ,,1,1,11/15/2021 16:15,1,S0,,
Nitrate Standard,,NO2_NO3_H2O,0.86,mg N/L,0.652237, ,,1,1,11/15/2021 17:04,1,C21,,3
Nitrite Standard,,NO2_NO3_H2O,1.076,mg N/L,0.814575,79.93,,1,1,11/15/2021 17:05,1,C22,,4
CCV,,NO2_NO3_H2O,0.858,mg N/L,0.65089,0,,1,1,11/15/2021 17:07,1,C11,,
CCB,,NO2_NO3_H2O,0.001,mg N/L,0.006299,0,,1,1,11/15/2021 16:23,1,C12,,
BW_NA20210728_blank,,NO2_NO3_H2O,0.001,mg N/L,0.006202, ,,1,1,11/15/2021 16:24,1,U1,,5
BW_NA20210728_0,,NO2_NO3_H2O,0.005,mg N/L,0.009315, ,,1,1,11/15/2021 16:26,1,U2,,6
BW_NA20210728_1,,NO2_NO3_H2O,0.008,mg N/L,0.01181, ,,1,1,11/15/2021 17:09,1,U3,,7
BW_NA20210728_2,,NO2_NO3_H2O,0.006,mg N/L,0.010138, ,,1,1,11/15/2021 17:11,1,U4,,8
BW_NA20210728_3,,NO2_NO3_H2O,0.023,mg N/L,0.022794, ,,1,1,11/15/2021 17:13,1,U5,,9
BW_NA20210728_4,,NO2_NO3_H2O,0.099,mg N/L,0.079768, ,,1,1,11/15/2021 17:14,1,U6,,10
BW_NA20210728_5,,NO2_NO3_H2O,0.166,mg N/L,0.130478, ,,1,1,11/15/2021 17:16,1,U7,,11
Duplicate,,NO2_NO3_H2O,0.165,mg N/L,0.129468,0.81,,1,1,11/15/2021 17:18,1,C13,,11
BW_NA20210728_6,,NO2_NO3_H2O,0.224,mg N/L,0.174159, ,,1,1,11/15/2021 17:20,1,U8,,12
BW_NA20210728_7,,NO2_NO3_H2O,0.22,mg N/L,0.170761, ,,1,1,11/15/2021 17:22,1,U9,,13
BW_NA20210728_8,,NO2_NO3_H2O,0.019,mg N/L,0.019796, ,,1,1,11/15/2021 17:24,1,U10,,14
BW_NA20210728_9,,NO2_NO3_H2O,0.202,mg N/L,0.157704, ,,1,1,11/15/2021 17:25,1,U11,,15
BW_NA20210728_10,,NO2_NO3_H2O,0.146,mg N/L,0.115261, ,,1,1,11/15/2021 17:27,1,U12,,16
BW_NA20210728_11,,NO2_NO3_H2O,0.089,mg N/L,0.07229, ,,1,1,11/15/2021 17:29,1,U13,,17
BW_NA20210728_12,,NO2_NO3_H2O,0.045,mg N/L,0.039522, ,,1,1,11/15/2021 17:31,1,U14,,18
GB_NA20210722_blank,,NO2_NO3_H2O,0.001,mg N/L,0.006489, ,,1,1,11/15/2021 17:33,1,U15,,19
Duplicate,,NO2_NO3_H2O,0.001,mg N/L,0.006689,20.1,,1,1,11/15/2021 17:34,1,C13,,19
CCV,,NO2_NO3_H2O,0.807,mg N/L,0.612113,0,,1,1,11/15/2021 17:36,1,C11,,
CCB,,NO2_NO3_H2O,0.001,mg N/L,0.0065,0,,1,1,11/15/2021 17:38,1,C12,,
GB_NA20210722_0,,NO2_NO3_H2O,0.021,mg N/L,0.021301, ,,1,1,11/15/2021 17:40,1,U16,,20
GB_NA20210722_1,,NO2_NO3_H2O,0.002,mg N/L,0.007251, ,,1,1,11/15/2021 17:42,1,U17,,21
GB_NA20210722_2,,NO2_NO3_H2O,0.003,mg N/L,0.007689, ,,1,1,11/15/2021 17:43,1,U18,,22
GB_NA20210722_3,,NO2_NO3_H2O,0.003,mg N/L,0.00752, ,,1,1,11/15/2021 17:45,1,U19,,23
GB_NA20210722_4,,NO2_NO3_H2O,0.005,mg N/L,0.009601, ,,1,1,11/15/2021 17:47,1,U20,,24
GB_NA20210722_5,,NO2_NO3_H2O,0.055,mg N/L,0.046633, ,,1,1,11/15/2021 17:49,1,U21,,25
GB_NA20210722_6,,NO2_NO3_H2O,0.083,mg N/L,0.06772, ,,1,1,11/15/2021 17:51,1,U22,,26
GB_NA20210722_7,,NO2_NO3_H2O,0.112,mg N/L,0.089523, ,,1,1,11/15/2021 17:52,1,U23,,27
Duplicate,,NO2_NO3_H2O,0.108,mg N/L,0.087154,2.86,,1,1,11/15/2021 17:52,1,C13,,27
GB_NA20210722_8,,NO2_NO3_H2O,0.18,mg N/L,0.14069, ,,1,1,11/15/2021 17:53,1,U24,,28
GB_NA20210722_9,,NO2_NO3_H2O,0.307,mg N/L,0.236356, ,,1,1,11/15/2021 17:54,1,U25,,29
GB_NA20210722_10,,NO2_NO3_H2O,0.407,mg N/L,0.311667, ,,1,1,11/15/2021 17:55,1,U26,,30
CCV,,NO2_NO3_H2O,0.758,mg N/L,0.575568,0,,1,1,11/15/2021 17:56,1,C11,,
CCB,,NO2_NO3_H2O,0,mg N/L,0.005503,0,,1,1,11/15/2021 17:57,1,C12,,
CCV,,NO2_NO3_H2O,0.875,mg N/L,0.663802,0,,1,1,11/15/2021 17:00,1,C11,,
CCB,,NO2_NO3_H2O,0.001,mg N/L,0.006106,0,,1,1,11/15/2021 17:02,1,C12,,
CCV,,NO2_NO3_H2O,0.832,mg N/L,0.630829,0,,1,1,11/15/2021 17:58,1,C11,,
CCB,,NO2_NO3_H2O,0,mg N/L,0.005551,0,,1,1,11/15/2021 17:59,1,C12,,
